Marca temporal,i ¿Qué estás estudiando?,ii ¿Qué tan satisfecho te sientes en tu carrera?,1. Te gusta salir de excursión ,2. Armar y desarmar objetos mecanicos,3. Resolver rompecabezas,4.Conocer y estudiar de las plantas y de los animales,5.Discutir en clase de diferentes temas,6.Dibujar y pinta a colores,7.Escribir diferentes artículos o algún tema en especifico,8. Atender y cuidar a los enfermos,9. Llevar en orden tus libros y cuadernos,10. Manejar herramientas y maquinaria,"11. Hacer experimentos de Biología, Física o Química",12. Resolver problemas de aritmética,13. Ser jefe de un club o sociedad,14. Leer obras literarias,15. Escuchar música clásica,16. Proteger a los muchachos del grupo,17. Ordenar y clasificar los libros de la biblioteca,18. Vivir al aire libre fuera de la ciudad,19. Construir objetos o muebles de madera,20. Llevar la cuenta de una cooperativa escolar,21. Investigar el origen de las costumbres de los pueblos,22. Dirigir la campaña política de un candidato estudiantil,23. Encargarte del decorado de una exposición escolar,24. Hacer versos de un periodico estudiantil,25. Ser miembro de una sociedad de ayuda asistencial,26. Aprender a escribir y capturar información de una oficina,27. Sembrar y plantar en una granja durante las vacaciones,28. Reparar las instalaciones eléctricas de tu casa ,29. Explicar a otro como resolver algún problema ,30. Estudiar y entender las causas de los movimientos sociales,31. Idear y diseñar el escudo de un club o sociedad,32. Enseñar a leer a las personas analfabetas,33. Ayudar a calificar pruebas,34. Criar animales en un rancho durante las vacaciones,35. Proyectar o dirigir la construcción de alguna maquinar para su elaboración mas rápida ,36. Participar en un concurso de aritmetica,37. Leer revistas y libros cientificos,38. Leer biografías de políticos prominentes,39. Leer novelas históricas,40. Participar en en un concurso de oratoria,41. Ayudar a sus compañeros en sus dificultades y preocupaciones,42. Encargarte del archivo y los documentos de una sociedad,43. Técnico agrícola en una región algodonera ,44. Experto mecánico en un taller,45. Experto calculista en una industria,"46. Investigador en un laboratorio de Biología, Física o Química",47. Agente de ventas en una empresa comercial,48. Experto dibujante dibujante en una empresa industrial,49. Trabajar al servicio de las clases humildes,50. Técnico de apoyo al personal de gerencia en una oficina
2/5/2019 20:14:06,Relaciones Internacionales,5,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,5.-Me agrada mucho,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta"
3/5/2019 0:20:25,Relaciones Internacionales,3,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,5.-Me agrada mucho,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta"
3/5/2019 23:32:42,Ingeniería Mecánica,4,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta"
3/5/2019 23:49:46,Ingeniería Mecánica,4,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,2.-Me desagrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,2.-Me desagrada algo o en parte,5.-Me agrada mucho
4/5/2019 0:06:32,Diseño Gráfico,4,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte
4/5/2019 0:06:55,Psicología,5,5.-Me agrada mucho,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte
4/5/2019 0:24:36,Ingeniería Mecánica,3,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta"
4/5/2019 1:21:19,Psicología,5,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,2.-Me desagrada algo o en parte,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,2.-Me desagrada algo o en parte,5.-Me agrada mucho,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte
4/5/2019 1:48:56,Médicina,4,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta"
4/5/2019 2:13:54,Ingeniería Mecánica,3,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,1.-Me desagrada mucho o totalmente,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta"
4/5/2019 2:54:15,Psicología,5,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho
4/5/2019 2:55:03,Física,5,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho
4/5/2019 3:04:50,Psicología,4,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,5.-Me agrada mucho,5.-Me agrada mucho,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,1.-Me desagrada mucho o totalmente,5.-Me agrada mucho,5.-Me agrada mucho,1.-Me desagrada mucho o totalmente
4/5/2019 3:07:55,Psicología,4,5.-Me agrada mucho,5.-Me agrada mucho,5.-Me agrada mucho,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",5.-Me agrada mucho,4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,2.-Me desagrada algo o en parte,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,4.-Me agrada algo o en parte,4.-Me agrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,1.-Me desagrada mucho o totalmente,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",4.-Me agrada algo o en parte,2.-Me desagrada algo o en parte,2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte,"3.-Me es indiferente, pues ni me gusta ni me disgusta",1.-Me desagrada mucho o totalmente,"3.-Me es indiferente, pues ni me gusta ni me disgusta","3.-Me es indiferente, pues ni me gusta ni me disgusta",2.-Me desagrada algo o en parte
